price,brand,model,year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,car_age
10750000.0,Kia,Sportage,2015,Used,Tiptronic,SUV / 4x4,Diesel,2000,139000,11
9975000.0,Suzuki,Spacia,2025,Brand New,Automatic,MPV,Hybrid,1000,0,1
16950000.0,Jeep,Compass,2019,Used,Automatic,SUV / 4x4,Petrol,1400,46000,7
7875000.0,Daihatsu,Taft,2024,Used,Automatic,Hatchback,Petrol,650,1800,2
54700000.0,Toyota,Land Cruiser Prado,2024,Import,Automatic,SUV / 4x4,Petrol,2700,9000,2
13500000.0,Toyota,CHR,2018,Brand New,Automatic,Hatchback,Petrol,1200,76212,8
21300000.0,Nissan,Serena,2025,Brand New,Automatic,MPV,Hybrid,1400,47,1
10250000.0,Toyota,Roomy,2024,Used,Automatic,MPV,Petrol,1000,1500,2
9050000.0,Suzuki,Spacia,2025,Import,Automatic,Hatchback,Hybrid,660,0,1
14300000.0,Toyota,Raize,2025,Brand New,Automatic,SUV / 4x4,Hybrid,1200,0,1
3600000.0,Suzuki,Alto,2015,Used,Manual,Hatchback,Petrol,800,144355,11
3975000.0,Micro,Geely,2017,Used,Automatic,Unknown,Petrol,1000,60000,9
12250000.0,Honda,CRV,2013,Used,Automatic,Unknown,Petrol,1990,169000,13
7150000.0,Toyota,Vitz,2019,Used,Automatic,Hatchback,Petrol,998,68000,7
3350000.0,Suzuki,Alto,2003,Used,Manual,Hatchback,Petrol,660,92000,23
29600000.0,Ford,Raptor Ranger,2024,Brand New,Tiptronic,Coupe/Sports,Diesel,3000,0,2
4890000.0,Nissan,Sunny,2007,Used,Manual,Saloon,Petrol,1300,275000,19
51885000.0,Toyota,Land Cruiser Prado,2023,Reconditioned,Automatic,SUV / 4x4,Hybrid,2700,18000,3
11700000.0,Honda,Vezel,2016,Used,Automatic,SUV / 4x4,Petrol,1490,91000,10
11000000.0,Toyota,Axio,2016,Used,Automatic,Saloon,Petrol,1500,78000,10
12385000.0,MG,ZS,2025,Brand New,Automatic,SUV / 4x4,Petrol,1000,0,1
6975000.0,Suzuki,Wagon R FX,2024,Reconditioned,Automatic,Hatchback,Petrol,660,6000,2
6700000.0,Toyota,Vitz,2016,Used,Automatic,Hatchback,Petrol,1000,61000,10
11200000.0,Toyota,Roomy,2025,Brand New,Automatic,MPV,Petrol,1000,25,1
8990000.0,Nissan,Roox,2024,Brand New,Automatic,Unknown,Hybrid,660,0,2
4275000.0,Perodua,Viva Elite,2010,Used,Automatic,Hatchback,Petrol,1000,88000,16
10750000.0,Kia,Sportage,2015,Used,Tiptronic,SUV / 4x4,Diesel,2000,139000,11
2100000.0,Tata,Nano,2015,Used,Manual,Unknown,Petrol,624,109000,11
26990000.0,Toyota,Corolla,2025,Brand New,Automatic,SUV / 4x4,Hybrid,1800,17,1
9975000.0,Suzuki,Spacia,2025,Brand New,Automatic,MPV,Hybrid,1000,0,1
7875000.0,Daihatsu,Taft,2024,Used,Automatic,Hatchback,Petrol,650,1800,2
25800000.0,Toyota,Hilux,2025,Brand New,Tiptronic,SUV / 4x4,Diesel,2800,0,1
10250000.0,Toyota,Roomy,2024,Used,Automatic,MPV,Petrol,1000,1500,2
59500000.0,Toyota,Land Cruiser Prado,2025,Brand New,Automatic,SUV / 4x4,Petrol,2700,20,1
14300000.0,Toyota,Raize,2025,Brand New,Automatic,SUV / 4x4,Hybrid,1200,0,1
35000000.0,Land Rover,Discovery,2016,Used,Automatic,SUV / 4x4,Diesel,3000,145000,10
7865000.0,DFSK,Glory,2021,Used,Automatic,SUV / 4x4,Petrol,2000,50000,5
3600000.0,Suzuki,Alto,2015,Used,Manual,Hatchback,Petrol,800,144355,11
3975000.0,Micro,Geely,2017,Used,Automatic,Unknown,Petrol,1000,60000,9
123000000.0,BMW,740i,2024,Brand New,Tiptronic,Saloon,Petrol,3000,0,2
11500000.0,Toyota,Raize,2025,Brand New,Automatic,SUV / 4x4,Petrol,1000,0,1
8875000.0,Toyota,Allion,2010,Used,Automatic,Saloon,Petrol,1500,145000,16
3990000.0,Toyota,Sprinter,1999,Used,Automatic,Saloon,Petrol,1300,179000,27
10500000.0,Toyota,Prius,2015,Used,Automatic,Hatchback,Hybrid,1800,167000,11
4950000.0,Suzuki,Celerio,2014,Used,Tiptronic,Hatchback,Petrol,996,121131,12
7350000.0,Honda,Fit,2013,Used,Automatic,Hatchback,Hybrid,1490,144000,13
3990000.0,Suzuki,Liana,2006,Used,Manual,Saloon,Petrol,1300,155000,20
10000000.0,Toyota,Hilux,2011,Used,Manual,SUV / 4x4,Diesel,2500,148352,15
20900000.0,Audi,A3,2023,Reconditioned,Automatic,SUV / 4x4,Petrol,1000,5000,3
25900000.0,Toyota,Hilux,2025,Brand New,Automatic,SUV / 4x4,Diesel,2800,0,1
13750000.0,Audi,Q2,2018,Used,Tiptronic,SUV / 4x4,Petrol,1000,61000,8
11625000.0,Hyundai,Venue,2025,Import,Automatic,SUV / 4x4,Petrol,1000,0,1
23900000.0,Mercedes Benz,CLA 200,2019,Used,Automatic,Saloon,Petrol,1322,40000,7
5300000.0,Toyota,Vitz,2007,Used,Automatic,Hatchback,Petrol,1000,121000,19
5790000.0,Perodua,Axia,2016,Used,Automatic,Hatchback,Petrol,998,41535,10
11625000.0,Hyundai,Venue,2025,Import,Automatic,SUV / 4x4,Petrol,1000,0,1
15190000.0,Mini,Countryman,2017,Used,Tiptronic,Hatchback,Hybrid,1500,45000,9
10500000.0,Nissan,X-Trail,2016,Used,Automatic,SUV / 4x4,Hybrid,1500,145000,10
12800000.0,Nissan,Aura,2024,Used,Automatic,Hatchback,Hybrid,1200,10254,2
25500000.0,Mercedes Benz,E220,2016,Used,Automatic,Saloon,Diesel,2000,84000,10
5190000.0,Suzuki,Alto,2017,Used,Automatic,Hatchback,Petrol,650,75498,9
20000000.0,Mercedes Benz,S350,2011,Used,Automatic,Saloon,Petrol,3498,170000,15
5490000.0,Honda,HR-V,2000,Used,Automatic,Hatchback,Petrol,1590,275723,26
11625000.0,Hyundai,Venue,2025,Import,Automatic,SUV / 4x4,Petrol,1000,0,1
9150000.0,Suzuki,Other Model,2025,Brand New,Automatic,MPV,Petrol,660,0,1
7350000.0,Toyota,Rush,2009,Used,Automatic,Hatchback,Petrol,1490,168093,17
7150000.0,Toyota,Vitz,2019,Used,Automatic,Hatchback,Petrol,998,68000,7
3350000.0,Suzuki,Alto,2003,Used,Manual,Hatchback,Petrol,660,92000,23
9275000.0,Toyota,Yaris,2023,Reconditioned,Automatic,Saloon,Petrol,1000,40000,3
21200000.0,Toyota,Yaris Cross,2025,Brand New,Automatic,Hatchback,Hybrid,1500,0,1
18390000.0,Honda,Vezel,2025,Brand New,Automatic,SUV / 4x4,Hybrid,1500,47,1
8950000.0,Toyota,Yaris,2023,Reconditioned,Automatic,Hatchback,Petrol,1000,28000,3
57500000.0,Toyota,Land Cruiser Prado,2024,Reconditioned,Automatic,SUV / 4x4,Petrol,2700,3500,2
11700000.0,Honda,Vezel,2016,Used,Automatic,SUV / 4x4,Petrol,1490,91000,10
16500000.0,Toyota,Crown,2008,Used,Automatic,Saloon,Hybrid,3500,84000,18
6975000.0,Suzuki,Wagon R FX,2024,Reconditioned,Automatic,Hatchback,Petrol,660,6000,2
12500000.0,Mitsubishi,Montero,2003,Used,Automatic,SUV / 4x4,Petrol,3800,129000,23
11200000.0,Toyota,Roomy,2025,Brand New,Automatic,MPV,Petrol,1000,25,1
34600000.0,Ford,Raptor Ranger,2025,Brand New,Tiptronic,SUV / 4x4,Diesel,2000,0,1
2100000.0,Tata,Nano,2015,Used,Manual,Unknown,Petrol,624,109000,11
26990000.0,Toyota,Corolla,2025,Brand New,Automatic,SUV / 4x4,Hybrid,1800,17,1
11150000.0,Toyota,Prius,2013,Used,Automatic,Saloon,Hybrid,1800,131000,13
42000000.0,Toyota,Other Model,2025,Used,Manual,SUV / 4x4,Diesel,2800,5000,1
22500000.0,Mercedes Benz,CLA 200,2019,Used,Automatic,Saloon,Petrol,1330,35500,7
59500000.0,Toyota,Crown,2024,Brand New,Automatic,SUV / 4x4,Hybrid,2500,0,2
9200000.0,Honda,Grace,2015,Used,Automatic,Saloon,Petrol,1500,47500,11
18300000.0,Toyota,Yaris Ativ,2025,Brand New,Automatic,Saloon,Hybrid,1500,0,1
3500000.0,Maruti Suzuki,Alto,2011,Used,Manual,Hatchback,Petrol,796,63300,15
35000000.0,Land Rover,Discovery,2016,Used,Automatic,SUV / 4x4,Diesel,3000,145000,10
7865000.0,DFSK,Glory,2021,Used,Automatic,SUV / 4x4,Petrol,2000,50000,5
59500000.0,Toyota,Land Cruiser Prado,2025,Brand New,Automatic,SUV / 4x4,Petrol,2700,20,1
3600000.0,Suzuki,Alto,2015,Used,Manual,Hatchback,Petrol,800,144355,11
19500000.0,Honda,CRV,2020,Used,Automatic,Unknown,Petrol,1500,75000,6
7350000.0,Honda,Fit,2013,Used,Automatic,Hatchback,Hybrid,1490,144000,13
11625000.0,Hyundai,Venue,2025,Import,Automatic,SUV / 4x4,Petrol,1000,0,1
25900000.0,Toyota,Hilux,2025,Brand New,Automatic,SUV / 4x4,Diesel,2800,0,1
25900000.0,Toyota,Hilux,2025,Import,Automatic,SUV / 4x4,Diesel,2800,0,1
20900000.0,Audi,A3,2023,Reconditioned,Automatic,SUV / 4x4,Petrol,1000,5000,3
12500000.0,Kia,Other Model,2025,Used,Automatic,SUV / 4x4,Petrol,1000,9750,1
8195000.0,Mitsubishi,EK Custom,2023,Reconditioned,Automatic,Hatchback,Hybrid,650,3533,3
25900000.0,Toyota,Hilux,2025,Brand New,Automatic,SUV / 4x4,Diesel,2800,0,1
25900000.0,Toyota,Hilux,2025,Brand New,Automatic,SUV / 4x4,Diesel,2800,0,1
11750000.0,Land Rover,Freelander,2013,Used,Tiptronic,SUV / 4x4,Diesel,2200,100000,13
11625000.0,Hyundai,Venue,2025,Import,Automatic,SUV / 4x4,Petrol,1000,0,1
25900000.0,Toyota,Hilux,2025,Import,Automatic,SUV / 4x4,Diesel,2800,0,1
13300000.0,Land Rover,Freelander,2011,Used,Automatic,SUV / 4x4,Diesel,2179,135000,15
11625000.0,Hyundai,Venue,2025,Import,Automatic,SUV / 4x4,Petrol,1000,0,1
25900000.0,Toyota,Hilux,2025,Import,Automatic,SUV / 4x4,Diesel,2800,0,1
11625000.0,Hyundai,Venue,2025,Import,Automatic,SUV / 4x4,Petrol,1000,0,1
15190000.0,Mini,Countryman,2017,Used,Tiptronic,Hatchback,Hybrid,1500,45000,9
10500000.0,Nissan,X-Trail,2016,Used,Automatic,SUV / 4x4,Hybrid,1500,145000,10
12800000.0,Nissan,Aura,2024,Used,Automatic,Hatchback,Hybrid,1200,10254,2
29700000.0,Honda,CRV,2025,Brand New,Automatic,SUV / 4x4,Petrol,1500,0,1
20000000.0,Mercedes Benz,S350,2011,Used,Automatic,Saloon,Petrol,3498,170000,15
25900000.0,Toyota,Hilux,2025,Import,Automatic,SUV / 4x4,Diesel,2800,0,1
11625000.0,Hyundai,Venue,2025,Import,Automatic,SUV / 4x4,Petrol,1000,0,1
25900000.0,Toyota,Hilux,2025,Import,Automatic,SUV / 4x4,Diesel,2800,0,1
25900000.0,Toyota,Hilux,2025,Import,Automatic,SUV / 4x4,Diesel,2800,0,1
