iter	RMSE
195	4091674.449
196	4080748.407
197	4074453.92
198	4071761.457
199	4068793.662
200	4066709.019
201	4062973.301
202	4059665.4
203	4055945.236
204	4047353.631
205	4040482.866
206	4037857.808
207	4035570.767
208	4031552.667
209	4025639.159
210	4019358.143
211	4017566.891
212	4015219.063
213	4009576.053
214	4005941.888
215	4005241.183
216	4001571.622
217	3995343.084
218	3991527.361
219	3988859.263
220	3988806.797
221	3988239.041
222	3984751.203
223	3977992.192
224	3974577.323
225	3974250.985
226	3971599.231
227	3970012.381
228	3967775.493
229	3964419.173
230	3955580.453
231	3950030.843
232	3946304.411
233	3942677.439
234	3938578.644
235	3929645.067
236	3926428.717
237	3923802.517
238	3921050.908
239	3914988.522
240	3911923.04
241	3911670.938
242	3908347.452
243	3908159.207
244	3906626
245	3902105.451
246	3899578.811
247	3898047.754
248	3897255.68
249	3892182.78
250	3889852.094
251	3886789.22
252	3879145.306
253	3873918.152
254	3869792.355
255	3862233.27
256	3858652.217
257	3853848.546
258	3850994.697
259	3849732.483
260	3847124.586
261	3844741.058
262	3837475.121
263	3836075.072
264	3832930.401
265	3830277.186
266	3825747.177
267	3821688.161
268	3820393.317
269	3819343.291
270	3816225.309
271	3807580.929
272	3802445.559
273	3793016.398
274	3786625.689
275	3780129.233
276	3777966.319
277	3773496.468
278	3768625.452
279	3763711.416
280	3761450.577
281	3755734.08
282	3752353.314
283	3749643.833
284	3747755.879
285	3745570.958
286	3742489.983
287	3740566.209
288	3737579.003
289	3733294.826
290	3732143.931
291	3729358.345
292	3725441.428
293	3723024.746
294	3715258.35
295	3713233.982
296	3711340.059
297	3706149.03
298	3701570.851
299	3699932.714
300	3695607.952
301	3695462.703
302	3693247.087
303	3690080.646
304	3689445.664
305	3689312.997
306	3688198.213
307	3687017.683
308	3685360.388
309	3679538.295
310	3678670.508
311	3669391.723
312	3662757.233
313	3659503.144
314	3654467.441
315	3651973.396
316	3649710.08
317	3645134.425
318	3644330.367
319	3639611.363
320	3632367.602
321	3632003.041
322	3625521.704
323	3622520.616
324	3621146.04
325	3616800.476
326	3611350.139
327	3610397.897
328	3606983.66
329	3603239.388
330	3596908.363
331	3593167.57
332	3590543.04
333	3585325.294
334	3583689.97
335	3580929.769
336	3576262.035
337	3569349.312
338	3565433.696
339	3561476.436
340	3560698.572
341	3555821.427
342	3554954.466
343	3551494.763
344	3550367.288
345	3549554.512
346	3545451.868
347	3542325.102
348	3539053.34
349	3534842.257
350	3532522.495
351	3531090.072
352	3526793.192
353	3524170.183
354	3523388.942
355	3520476.862
356	3517538.625
357	3514182.352
358	3509350.412
359	3507572.094
360	3504452.817
361	3500653.426
362	3497739.872
363	3496103.342
364	3493499.874
365	3488784.009
366	3487612.971
367	3484713.217
368	3483916.461
369	3483274.641
370	3478103.555
371	3476105.656
372	3471117.549
373	3469887.672
374	3465535.006
375	3463769.976
376	3458970.426
377	3456840.037
378	3454672.252
379	3447982.723
380	3444885.722
381	3442643.389
382	3440555.742
383	3438601.034
384	3437831.058
385	3436183.348
386	3434867.965
387	3433134.504
388	3430721.063
389	3427845.682
390	3426615.399
391	3426011.515
392	3424667.9
393	3423810.563
394	3420418.388
395	3418260.298
396	3416648.519
397	3416091.898
398	3414386.46
399	3410437.131
400	3409714.004
401	3408655.215
402	3403594.387
403	3401568.205
404	3401043.766
405	3398618.679
406	3397252.816
407	3393870.772
408	3390729.844
409	3388132.87
410	3385102.772
411	3383442.213
412	3380704.594
413	3377899.074
414	3376692.326
415	3374848.451
416	3372784.411
417	3369110.206
418	3367975.865
419	3367114.349
420	3365269.741
421	3364102.495
422	3361329.826
423	3358784.617
424	3356754.246
425	3356395.629
426	3355267.016
427	3354585.653
428	3352246.805
429	3350957.393
430	3347010.433
431	3345688.697
432	3344247.103
433	3342536.853
434	3340784.881
435	3338325.562
436	3332517.691
437	3331495.551
438	3329808.768
439	3328889.538
440	3326099.614
441	3323451.689
442	3321609.196
443	3320533.294
444	3316125.595
445	3314808.594
446	3312472.997
447	3311161.243
448	3308671.851
449	3306372.505
450	3302923.067
451	3302179.433
452	3300981.423
453	3298111.882
454	3297331.035
455	3294227.635
456	3291464.079
457	3289118.576
458	3286718.67
459	3280116.058
460	3278637.808
461	3276188.998
462	3274648.5
463	3272327.063
464	3271153.923
465	3267203.759
466	3263474.479
467	3256243.905
468	3254556.789
469	3253504.54
470	3252526.971
471	3251708.727
472	3249555.873
473	3243599.99
474	3242095.577
475	3239685.807
476	3238291.371
477	3236524.61
478	3234577.07
479	3232987.049
480	3232301.531
481	3230871.63
482	3229505.589
483	3228004.332
484	3226486.208
485	3223752.43
486	3222705.356
487	3220717.622
488	3217925.28
489	3216657.075
490	3214785.772
491	3212721.047
492	3210164.656
493	3209121.599
494	3208152.846
495	3205294.294
496	3203014.655
497	3199902.991
498	3198932.12
499	3198878.451
500	3196563.436
501	3195656.671
502	3194444.388
503	3192744.287
504	3191972.779
505	3189440.056
506	3189385.865
507	3188073.823
508	3187308.188
509	3186875.85
510	3186491.312
511	3185143.227
512	3182998.098
513	3179922.605
514	3178090.157
515	3177887.347
516	3176710.259
517	3175732.514
518	3173357.473
519	3172956.198
520	3168062.412
521	3167232.245
522	3166115.836
523	3163510.97
524	3162722.558
525	3161332.195
526	3158431.517
527	3156538.978
528	3153915.666
529	3152220.798
530	3150390.792
531	3149687.817
532	3148732.026
533	3148051.475
534	3145639.701
535	3144293.9
536	3144227.348
537	3142695.169
538	3140857.143
539	3139482.352
540	3138825.21
541	3138105.387
542	3138043.794
543	3135705.731
544	3134077.181
545	3132020.672
546	3131111.062
547	3130398.433
548	3129339.241
549	3127219.946
550	3126601.575
551	3124755.436
552	3122676.449
553	3121814.521
554	3119984.595
555	3118286.439
556	3117560.919
557	3116945.038
558	3113668.526
559	3112113.381
560	3110729.079
561	3109549.101
562	3108402.11
563	3107502.254
564	3106094.673
565	3105030.539
566	3103107.618
567	3101187.809
568	3099646.767
569	3096800.318
570	3096055.775
571	3094066.842
572	3093153.697
573	3090556.656
574	3086863.277
575	3085737.371
576	3084797.737
577	3083944.962
578	3078629.753
579	3076953.189
580	3076230.821
581	3074316.113
582	3072030.912
583	3067009.969
584	3064935.922
585	3063849.888
586	3061406.976
587	3059946.133
588	3058745.604
589	3057436.736
590	3056447.02
591	3055089.437
592	3054048.449
593	3053266.955
594	3051576.289
595	3050653.388
596	3049663.483
597	3049508.441
598	3047847.829
599	3045408.627
600	3044521.4
601	3040500.039
602	3039284.029
603	3038950.723
604	3037455.69
605	3035920.721
606	3033067.816
607	3031539.242
608	3029899.729
609	3028537.487
610	3027126.287
611	3025790.056
612	3024860.855
613	3024133.752
614	3023159.667
615	3022101.864
616	3021128.711
617	3020291.045
618	3019282.221
619	3018459.75
620	3018034.264
621	3017060.198
622	3015695.806
623	3014377.65
624	3011695.386
625	3010629.216
626	3008836.837
627	3008433.773
628	3006946.233
629	3003418.912
630	3000116.738
631	2998733.382
632	2998028.038
633	2997105.75
634	2996917.464
635	2995697.581
636	2992687.746
637	2989369.202
638	2987097.245
639	2985799.339
640	2984546.122
641	2983974.708
642	2982935.522
643	2981954.712
644	2980822.769
645	2978884.042
646	2975977.596
647	2975542.406
648	2973609.512
649	2973045.031
650	2972235.482
651	2972209.558
652	2970869.178
653	2970288.024
654	2969081.316
655	2967469.2
656	2965441.488
657	2964273.49
658	2963218.673
659	2962240.304
660	2961902.863
661	2960639.441
662	2959744.278
663	2958669.949
664	2957166.795
665	2955128.901
666	2953500.048
667	2952329.838
668	2949883.636
669	2947590.493
670	2946997.808
671	2944526.315
672	2940970.234
673	2940376.262
674	2939277.984
675	2938279.092
676	2937068.92
677	2934872.31
678	2933307.615
679	2932402.07
680	2931193.605
681	2926817.462
682	2923915.193
683	2923326.871
684	2922343.961
685	2921576.736
686	2920161.587
687	2918980.786
688	2918471.854
689	2915383.699
690	2914917.215
691	2914497.114
692	2914028.925
693	2912412.814
694	2911488.371
695	2911193.236
696	2910505.461
697	2909707.667
698	2908705.376
699	2908199.806
700	2907448.451
701	2906372.992
702	2905482.977
703	2902591.57
704	2900906.436
705	2900041.69
706	2899013.124
707	2898217.583
708	2896477.421
709	2895936.803
710	2895425.251
711	2894857.138
712	2893220.102
713	2892546.629
714	2891667.27
715	2891008.603
716	2890393.591
717	2889534.25
718	2889043.617
719	2888061.724
720	2883872.987
721	2882774.834
722	2882244.87
723	2881228.48
724	2880577.523
725	2879533.562
726	2878210.575
727	2873700.326
728	2873203.547
729	2870699.134
730	2869382.834
731	2868840.413
732	2868650.39
733	2867082.871
734	2866140.431
735	2865546.02
736	2864177.436
737	2861897.776
738	2861140.046
739	2860266.446
740	2859521.78
741	2859267.29
742	2856642.594
743	2855853.212
744	2855112.102
745	2853930.286
746	2852222.466
747	2851436.289
748	2850636.661
749	2849905.602
750	2848378.238
751	2847896.915
752	2847187.555
753	2846040.646
754	2844653.251
755	2844023.342
756	2842518.521
757	2841415.753
758	2840557.904
759	2838804.879
760	2836337.73
761	2835459.42
762	2834887.276
763	2834556.705
764	2833115.343
765	2832250.088
766	2831732.479
767	2830857.303
768	2830546.239
769	2829258.168
770	2828193.527
771	2827408.981
772	2826816.058
773	2825565.598
774	2825224.696
775	2823088.267
776	2822387.111
777	2821876.906
778	2821291.652
779	2820013.914
780	2819018.341
781	2818594.337
782	2817885.721
783	2817706.181
784	2816944.903
785	2815629.946
786	2814833.885
787	2813769.169
788	2812717.546
789	2812373.716
790	2809845.694
791	2808350.235
792	2807547.242
793	2806400.037
794	2804284.076
795	2804118.84
796	2802429.963
797	2802138.434
798	2801265.259
799	2800607.346
800	2799251.362
801	2797420.646
802	2796505.24
803	2795696.321
804	2795189.474
805	2794410.661
806	2791476.544
807	2791200.965
808	2790350.388
809	2789720.383
810	2789329.174
811	2788424.379
812	2788160.782
813	2786578.796
814	2785470.863
815	2784990.272
816	2784863.613
817	2783965.697
818	2781052.438
819	2778685.067
820	2777996.017
821	2777875.003
822	2776141.386
823	2775147.719
824	2774594.541
825	2773687.613
826	2773322.032
827	2771343.069
828	2769956.971
829	2769097.848
830	2768349.084
831	2766828.798
832	2762878.884
833	2762033.963
834	2761267.093
835	2760606.607
836	2758691.245
837	2757937.986
838	2756397.58
839	2755074.075
840	2754370.857
841	2753713.176
842	2752458.443
843	2751029.003
844	2750656.253
845	2749676.452
846	2748704.615
847	2747466.279
848	2747041.18
849	2745450.31
850	2744349.16
851	2742208.404
852	2741720.09
853	2741212.68
854	2740695.089
855	2740173.822
856	2739300.982
857	2737874.724
858	2737294.601
859	2736759.666
860	2735596.422
861	2734953.1
862	2733073.434
863	2731576.518
864	2731124.367
865	2730596.406
866	2730302.967
867	2728835.996
868	2728558.808
869	2727300.352
870	2726255.527
871	2725486.34
872	2725216.495
873	2724831.701
874	2723767.444
875	2723148.156
876	2721759.293
877	2721044.184
878	2719033.451
879	2718563.486
880	2718299.475
881	2717149.523
882	2715978.906
883	2714823.467
884	2712800.241
885	2712182.743
886	2708489.669
887	2706571.589
888	2704646.487
889	2704231.944
890	2702069.926
891	2701199.98
892	2700404.429
893	2700150.025
894	2699584.379
895	2698870.625
896	2698017.35
897	2697278.686
898	2694456.306
899	2693038.824
900	2691989.311
901	2691072.636
902	2689508.507
903	2688268.308
904	2687891.084
905	2687645.166
906	2686617.588
907	2685778.828
908	2683238.804
909	2680442.203
910	2679744.305
911	2677882.407
912	2677664.24
913	2677509.763
914	2677310.375
915	2676286.1
916	2675302.236
917	2674621.1
918	2672808.06
919	2670958.66
920	2669410.29
921	2668783.744
922	2667398.199
923	2665922.348
924	2665694.523
925	2664139.472
926	2663725.847
927	2662932.684
928	2662449.613
929	2661615.242
930	2661191.741
931	2660811.465
932	2660046.666
933	2659064.565
934	2658200.458
935	2655940.649
936	2655441.438
937	2653546.716
938	2651834.657
939	2651647.588
940	2650423.585
941	2649863.072
942	2649203.392
943	2647322.158
944	2646971.394
945	2646884.257
946	2646317.347
947	2645633.867
948	2644862.056
949	2643030.426
950	2641913.091
951	2640961.251
952	2639769.243
953	2639630.012
954	2637892.025
955	2637699.836
956	2636227.678
957	2635743.752
958	2634424.555
959	2634195.922
960	2633995.289
961	2633348.412
962	2633155.593
963	2632721.441
964	2632526.178
965	2631861.693
966	2630943.935
967	2630342.697
968	2629748.607
969	2629262.503
970	2627651.375
971	2626038.444
972	2624933.259
973	2623891.864
974	2623409.256
975	2623229.517
976	2621643.065
977	2621428.581
978	2621057.962
979	2617947.348
980	2616326.27
981	2614036.951
982	2613268.78
983	2612636.283
984	2611113.309
985	2610918.505
986	2609561.105
987	2609349.681
988	2608978.828
989	2607993.722
990	2607377.473
991	2606295.401
992	2604130.127
993	2603733.831
994	2601519.688
995	2601159.231
996	2600789.362
997	2599800.719
998	2597639.111
999	2596573.039
